Throttle,Left Front RPM,Right Front RPM,Left Rear RPM,Right Rear RPM
0.1,24.0537,24.0537,24.0537,24.0537
0.1,24.1178,24.1178,24.1178,24.1178
0.1,24.181,24.181,24.181,24.181
0.1,24.2447,24.2447,24.2447,24.2447
0.1,24.3082,24.3082,24.3082,24.3082
0.1,24.3715,24.3715,24.3715,24.3715
0.1,24.4352,24.4352,24.4352,24.4352
0.1,24.4988,24.4988,24.4988,24.4988
0.1,24.562,24.562,24.562,24.562
0.1,24.6265,24.6265,24.6265,24.6265
0.1,24.6889,24.6889,24.6889,24.6889
0.1,24.7533,24.7533,24.7533,24.7533
0.1,24.8182,24.8182,24.8182,24.8182
0.1,24.8794,24.8794,24.8794,24.8794
0.1,24.944,24.944,24.944,24.944
0.1,25.0078,25.0078,25.0078,25.0078
0.1,25.0729,25.0729,25.0729,25.0729
0.1,25.1331,25.1331,25.1331,25.1331
0.1,25.1943,25.1943,25.1943,25.1943
0.1,25.2577,25.2577,25.2577,25.2577
0.1,25.3246,25.3246,25.3246,25.3246
0.1,25.3877,25.3877,25.3877,25.3877
0.1,25.4507,25.4507,25.4507,25.4507
0.1,25.5134,25.5134,25.5134,25.5134
0.1,25.5758,25.5758,25.5758,25.5758
0.1,25.6398,25.6398,25.6398,25.6398
0.1,25.7034,25.7034,25.7034,25.7034
0.1,25.7671,25.7671,25.7671,25.7671
0.1,25.8306,25.8306,25.8306,25.8306
0.1,25.893,25.893,25.893,25.893
0.1,25.9571,25.9571,25.9571,25.9571
0.1,26.0195,26.0195,26.0195,26.0195
0.1,26.0836,26.0836,26.0836,26.0836
0.1,26.1462,26.1462,26.1462,26.1462
0.1,26.2143,26.2143,26.2143,26.2143
0.1,26.2737,26.2737,26.2737,26.2737
0.1,26.3371,26.3371,26.3371,26.3371
0.1,26.4004,26.4004,26.4004,26.4004
0.1,26.4634,26.4634,26.4634,26.4634
0.1,26.5288,26.5288,26.5288,26.5288
0.1,26.5896,26.5896,26.5896,26.5896
0.1,26.6541,26.6541,26.6541,26.6541
0.1,26.7174,26.7174,26.7174,26.7174
0.1,26.7797,26.7797,26.7797,26.7797
0.1,26.8435,26.8435,26.8435,26.8435
0.1,26.9073,26.9073,26.9073,26.9073
0.1,26.9713,26.9713,26.9713,26.9713
0.1,27.0332,27.0332,27.0332,27.0332
0.1,27.0966,27.0966,27.0966,27.0966
0.1,27.16,27.16,27.16,27.16
0.1,27.2227,27.2227,27.2227,27.2227
0.1,27.2867,27.2867,27.2867,27.2867
0.1,27.3484,27.3484,27.3484,27.3484
0.1,27.4133,27.4133,27.4133,27.4133
0.1,27.4764,27.4764,27.4764,27.4764
0.1,27.5396,27.5396,27.5396,27.5396
0.1,27.6028,27.6028,27.6028,27.6028
0.1,27.6658,27.6658,27.6658,27.6658
0.1,27.7298,27.7298,27.7298,27.7298
0.1,27.7926,27.7926,27.7926,27.7926
0.1,27.8559,27.8559,27.8559,27.8559
0.1,27.9213,27.9213,27.9213,27.9213
0.1,27.9817,27.9817,27.9817,27.9817
0.1,28.0424,28.0424,28.0424,28.0424
0.1,28.1076,28.1076,28.1076,28.1076
0.1,28.1722,28.1722,28.1722,28.1722
0.1,28.2364,28.2364,28.2364,28.2364
0.1,28.2981,28.2981,28.2981,28.2981
0.1,28.3613,28.3613,28.3613,28.3613
0.1,28.4245,28.4245,28.4245,28.4245
0.1,28.4878,28.4878,28.4878,28.4878
0.1,28.5511,28.5511,28.5511,28.5511
0.1,28.6144,28.6144,28.6144,28.6144
0.1,28.6765,28.6765,28.6765,28.6765
0.1,28.7403,28.7403,28.7403,28.7403
0.1,28.8039,28.8039,28.8039,28.8039
0.1,28.8716,28.8716,28.8716,28.8716
0.1,28.9261,28.9261,28.9261,28.9261
0.1,28.9929,28.9929,28.9929,28.9929
0.1,29.0568,29.0568,29.0568,29.0568
0.1,29.1191,29.1191,29.1191,29.1191
0.1,29.1807,29.1807,29.1807,29.1807
0.1,29.2449,29.2449,29.2449,29.2449
0.1,29.3088,29.3088,29.3088,29.3088
0.1,29.3718,29.3718,29.3718,29.3718
0.1,29.4351,29.4351,29.4351,29.4351
0.1,29.4982,29.4982,29.4982,29.4982
0.1,29.5625,29.5625,29.5625,29.5625
0.1,29.6232,29.6232,29.6232,29.6232
0.1,29.6876,29.6876,29.6876,29.6876
0.1,29.7501,29.7501,29.7501,29.7501
0.1,29.8115,29.8115,29.8115,29.8115
0.1,29.877,29.877,29.877,29.877
0.1,29.9405,29.9405,29.9405,29.9405
0.1,30.0004,30.0004,30.0004,30.0004
0.1,30.0649,30.0649,30.0649,30.0649
0.1,30.1301,30.1301,30.1301,30.1301
0.1,30.1927,30.1927,30.1927,30.1927
0.1,30.2573,30.2573,30.2573,30.2573
0.1,30.3188,30.3188,30.3188,30.3188
0.1,30.3815,30.3815,30.3815,30.3815
0.1,30.4425,30.4425,30.4425,30.4425
0.1,30.5091,30.5091,30.5091,30.5091
0.1,30.5695,30.5695,30.5695,30.5695
0.1,30.634,30.634,30.634,30.634
0.1,30.6966,30.6966,30.6966,30.6966
0.1,30.7596,30.7596,30.7596,30.7596
0.1,30.8226,30.8226,30.8226,30.8226
0.1,30.8856,30.8856,30.8856,30.8856
0.1,30.9475,30.9475,30.9475,30.9475
0.1,31.0116,31.0116,31.0116,31.0116
0.1,31.0769,31.0769,31.0769,31.0769
0.1,31.1366,31.1366,31.1366,31.1366
0.1,31.2007,31.2007,31.2007,31.2007
0.1,31.2635,31.2635,31.2635,31.2635
0.1,31.3265,31.3265,31.3265,31.3265
0.1,31.3903,31.3903,31.3903,31.3903
0.1,31.4531,31.4531,31.4531,31.4531
0.1,31.5152,31.5152,31.5152,31.5152
0.1,31.5786,31.5786,31.5786,31.5786
0.1,31.6418,31.6418,31.6418,31.6418
0.1,31.705,31.705,31.705,31.705
0.1,31.7667,31.7667,31.7667,31.7667
0.1,31.8338,31.8338,31.8338,31.8338
0.1,31.8939,31.8939,31.8939,31.8939
0.1,31.9602,31.9602,31.9602,31.9602
0.1,32.0221,32.0221,32.0221,32.0221
0.1,32.0853,32.0853,32.0853,32.0853
0.1,32.1427,32.1427,32.1427,32.1427
0.1,32.2085,32.2085,32.2085,32.2085
0.1,32.2709,32.2709,32.2709,32.2709
0.1,32.3336,32.3336,32.3336,32.3336
0.1,32.396,32.396,32.396,32.396
0.1,32.4597,32.4597,32.4597,32.4597
0.1,32.5224,32.5224,32.5224,32.5224
0.1,32.5866,32.5866,32.5866,32.5866
0.1,32.6483,32.6483,32.6483,32.6483
0.1,32.7044,32.7044,32.7044,32.7044
0.1,32.7744,32.7744,32.7744,32.7744
0.1,32.8405,32.8405,32.8405,32.8405
0.1,32.9003,32.9003,32.9003,32.9003
0.1,32.964,32.964,32.964,32.964
0.1,33.0257,33.0257,33.0257,33.0257
0.1,33.0886,33.0886,33.0886,33.0886
0.1,33.1517,33.1517,33.1517,33.1517
0.1,33.2143,33.2143,33.2143,33.2143
0.1,33.2771,33.2771,33.2771,33.2771
0.1,33.34,33.34,33.34,33.34
0.1,33.4027,33.4027,33.4027,33.4027
0.1,33.4656,33.4656,33.4656,33.4656
0.1,33.5279,33.5279,33.5279,33.5279
0.1,33.5912,33.5912,33.5912,33.5912
0.1,33.654,33.654,33.654,33.654
0.1,33.7136,33.7136,33.7136,33.7136
0.1,33.7797,33.7797,33.7797,33.7797
0.1,33.8421,33.8421,33.8421,33.8421
0.1,33.903,33.903,33.903,33.903
0.1,33.9683,33.9683,33.9683,33.9683
0.1,34.0311,34.0311,34.0311,34.0311
0.1,34.0945,34.0945,34.0945,34.0945
0.1,34.1578,34.1578,34.1578,34.1578
0.1,34.2199,34.2199,34.2199,34.2199
0.1,34.2821,34.2821,34.2821,34.2821
0.1,34.3449,34.3449,34.3449,34.3449
0.1,34.4077,34.4077,34.4077,34.4077
0.1,34.4703,34.4703,34.4703,34.4703
0.1,34.5333,34.5333,34.5333,34.5333
0.1,34.596,34.596,34.596,34.596
0.1,34.6581,34.6581,34.6581,34.6581
0.1,34.7194,34.7194,34.7194,34.7194
0.1,34.7838,34.7838,34.7838,34.7838
0.1,34.8462,34.8462,34.8462,34.8462
0.1,34.9077,34.9077,34.9077,34.9077
0.1,34.9779,34.9779,34.9779,34.9779
0.1,35.0345,35.0345,35.0345,35.0345
0.1,35.0981,35.0981,35.0981,35.0981
0.1,35.1609,35.1609,35.1609,35.1609
0.1,35.2241,35.2241,35.2241,35.2241
0.1,35.2853,35.2853,35.2853,35.2853
0.1,35.3489,35.3489,35.3489,35.3489
0.1,35.4118,35.4118,35.4118,35.4118
0.1,35.4835,35.4835,35.4835,35.4835
0.1,35.5368,35.5368,35.5368,35.5368
0.1,35.5989,35.5989,35.5989,35.5989
0.1,35.6581,35.6581,35.6581,35.6581
0.1,35.7244,35.7244,35.7244,35.7244
0.1,35.787,35.787,35.787,35.787
0.1,35.8408,35.8408,35.8408,35.8408
0.1,35.9136,35.9136,35.9136,35.9136
0.1,35.9759,35.9759,35.9759,35.9759
0.1,36.0375,36.0375,36.0375,36.0375
0.1,36.1013,36.1013,36.1013,36.1013
0.1,36.1646,36.1646,36.1646,36.1646
0.1,36.2264,36.2264,36.2264,36.2264
0.1,36.2893,36.2893,36.2893,36.2893
0.1,36.3516,36.3516,36.3516,36.3516
0.1,36.4142,36.4142,36.4142,36.4142
0.1,36.4769,36.4769,36.4769,36.4769
0.1,36.537,36.537,36.537,36.537
0.1,36.6021,36.6021,36.6021,36.6021
0.1,36.6647,36.6647,36.6647,36.6647
0.1,36.729,36.729,36.729,36.729
0.1,36.7904,36.7904,36.7904,36.7904
0.1,36.8535,36.8535,36.8535,36.8535
0.1,36.9157,36.9157,36.9157,36.9157
0.1,36.9777,36.9777,36.9777,36.9777
